user_id,book_id,rating,timestamp
1,B012,2.7,2025-11-19T06:00:00
1,B009,4.0,2026-04-15T04:00:00
1,B006,2.9,2025-09-27T23:00:00
1,B008,2.8,2026-02-13T11:00:00
1,B007,3.0,2025-04-04T01:00:00
1,B019,2.4,2026-03-09T19:00:00
1,B013,4.5,2026-04-25T16:00:00
1,B015,3.8,2025-09-27T16:00:00
1,B002,4.0,2025-04-19T20:00:00
1,B016,4.2,2025-01-01T19:00:00
1,B018,3.4,2025-07-25T22:00:00
1,B010,1.6,2026-06-14T14:00:00
2,B010,4.9,2026-02-21T06:00:00
2,B011,2.1,2026-02-25T14:00:00
2,B001,3.8,2025-03-04T12:00:00
2,B015,4.0,2025-04-22T07:00:00
2,B002,3.6,2025-10-13T14:00:00
2,B003,3.1,2025-04-11T01:00:00
2,B007,3.8,2025-06-20T13:00:00
2,B017,2.8,2025-03-12T19:00:00
3,B011,2.6,2025-12-24T02:00:00
3,B017,4.5,2025-06-11T14:00:00
3,B007,2.9,2025-01-09T21:00:00
3,B008,2.8,2025-04-17T04:00:00
3,B018,3.2,2025-06-09T08:00:00
3,B002,3.6,2025-07-28T21:00:00
3,B013,3.1,2026-05-16T08:00:00
3,B020,4.1,2025-04-05T20:00:00
3,B004,2.3,2025-06-02T17:00:00
3,B006,3.9,2025-06-01T13:00:00
4,B018,3.3,2025-06-08T07:00:00
4,B006,3.9,2025-07-01T13:00:00
4,B003,3.5,2025-10-01T05:00:00
4,B015,2.5,2026-04-27T07:00:00
4,B009,5.0,2025-10-13T02:00:00
4,B011,3.1,2026-06-06T12:00:00
5,B019,3.6,2025-07-14T08:00:00
5,B001,4.1,2025-07-21T11:00:00
5,B020,4.4,2025-05-08T23:00:00
5,B002,2.9,2026-02-23T10:00:00
5,B005,3.1,2025-06-28T19:00:00
5,B006,4.2,2025-11-26T14:00:00
5,B016,4.3,2025-06-23T21:00:00
5,B012,3.6,2025-09-08T15:00:00
5,B009,3.5,2026-04-12T13:00:00
6,B018,3.8,2025-09-13T03:00:00
6,B017,2.9,2025-11-21T14:00:00
6,B015,2.9,2025-06-12T23:00:00
6,B003,3.6,2025-09-11T20:00:00
6,B016,2.8,2025-10-09T14:00:00
6,B013,2.7,2025-11-24T17:00:00
6,B008,3.6,2025-08-08T02:00:00
7,B002,3.2,2025-08-14T15:00:00
7,B015,1.7,2026-02-03T10:00:00
7,B009,3.2,2025-06-19T14:00:00
7,B019,4.0,2025-03-27T20:00:00
7,B001,3.0,2026-01-24T10:00:00
7,B017,5.0,2026-01-24T08:00:00
7,B011,4.4,2025-09-16T02:00:00
7,B010,3.8,2025-12-25T07:00:00
7,B007,4.5,2025-06-06T07:00:00
8,B014,3.6,2025-02-12T11:00:00
8,B018,4.0,2025-01-13T13:00:00
8,B010,4.8,2026-04-16T22:00:00
8,B019,3.6,2025-10-04T19:00:00
8,B005,3.1,2026-05-11T14:00:00
8,B015,2.0,2025-09-09T02:00:00
8,B017,5.0,2026-01-24T10:00:00
8,B006,3.2,2025-12-30T08:00:00
8,B008,4.7,2025-09-04T22:00:00
9,B006,4.4,2026-06-22T19:00:00
9,B020,3.7,2025-10-31T07:00:00
9,B012,3.8,2025-05-10T08:00:00
9,B009,4.2,2025-01-13T18:00:00
9,B005,3.7,2025-07-08T01:00:00
9,B004,3.1,2026-02-15T15:00:00
9,B013,4.4,2025-11-08T02:00:00
9,B019,2.6,2025-08-01T20:00:00
10,B014,3.2,2025-01-22T21:00:00
10,B011,4.4,2025-06-29T15:00:00
10,B007,3.4,2025-07-05T18:00:00
10,B003,2.4,2026-04-27T11:00:00
10,B013,3.8,2025-06-14T10:00:00
10,B019,4.1,2025-11-28T03:00:00
10,B002,4.6,2026-05-26T20:00:00
10,B001,5.0,2025-05-15T09:00:00
10,B008,3.2,2025-04-06T07:00:00
10,B020,3.0,2025-09-07T14:00:00
10,B017,3.2,2026-06-05T23:00:00
11,B018,5.0,2026-05-11T11:00:00
11,B019,3.3,2025-11-26T06:00:00
11,B009,2.5,2025-08-28T13:00:00
11,B006,3.5,2025-06-05T15:00:00
11,B001,3.4,2025-12-06T03:00:00
11,B014,4.6,2026-02-12T20:00:00
11,B016,2.9,2026-01-25T10:00:00
11,B020,5.0,2026-05-15T17:00:00
11,B013,3.6,2025-08-21T23:00:00
12,B007,3.7,2025-07-04T05:00:00
12,B013,2.9,2025-09-04T15:00:00
12,B018,3.7,2025-09-18T14:00:00
12,B002,3.9,2026-04-22T09:00:00
12,B016,2.6,2025-12-20T18:00:00
12,B005,2.9,2026-04-13T09:00:00
12,B004,3.1,2025-10-30T00:00:00
12,B009,3.6,2025-10-09T00:00:00
13,B018,2.5,2025-07-14T19:00:00
13,B014,2.3,2025-02-10T09:00:00
13,B016,3.5,2025-05-15T02:00:00
13,B015,1.9,2025-10-07T05:00:00
13,B006,4.3,2025-10-30T23:00:00
14,B011,3.0,2025-12-02T19:00:00
14,B017,3.7,2026-04-21T22:00:00
14,B015,4.4,2025-05-19T12:00:00
14,B019,5.0,2025-06-08T13:00:00
14,B003,2.6,2025-08-30T11:00:00
14,B006,3.6,2026-01-03T01:00:00
14,B001,4.0,2026-04-11T02:00:00
15,B020,3.4,2025-09-14T05:00:00
15,B001,3.0,2025-09-01T18:00:00
15,B006,4.4,2025-05-10T23:00:00
15,B016,4.0,2025-04-22T14:00:00
15,B003,1.8,2026-06-18T09:00:00
15,B010,3.5,2026-03-31T02:00:00
15,B011,4.7,2025-06-01T02:00:00
15,B004,3.8,2025-08-09T13:00:00
15,B012,5.0,2026-05-01T02:00:00
15,B005,3.1,2026-01-17T04:00:00
16,B003,2.8,2025-01-27T19:00:00
16,B011,4.7,2025-10-01T00:00:00
16,B004,4.3,2025-12-26T00:00:00
16,B010,3.3,2026-02-15T02:00:00
16,B016,3.5,2025-08-09T12:00:00
16,B006,3.9,2025-11-29T18:00:00
16,B012,3.4,2025-06-09T05:00:00
16,B009,1.9,2026-06-24T21:00:00
16,B014,4.8,2025-09-19T09:00:00
17,B003,3.8,2026-03-04T09:00:00
17,B010,2.7,2025-06-25T19:00:00
17,B018,5.0,2025-09-07T13:00:00
17,B014,3.7,2026-02-10T09:00:00
17,B019,3.3,2025-03-20T16:00:00
17,B002,4.4,2025-09-20T06:00:00
17,B020,4.6,2025-03-19T05:00:00
17,B001,3.3,2025-11-27T20:00:00
